S.No.,Zone,Circle
1,KANPUR-I,EDC KANPUR
2,KANPUR-II,EDC ETAWAH
3,KANPUR-II,EDC FARRUKHABAD
4,KANPUR-II,EDC AURAIYA
5,KANPUR-II,EDC KANNAUJ
6,KANPUR-I,EDC KANPUR DEHAT
7,JHANSI,EUDC JHANSI
8,JHANSI,EDC JHANSI
9,JHANSI,EDC ORAI
10,JHANSI,EDC LALITPUR
11,FIROZABAD,EDC FIROZABAD
12,FIROZABAD,EDC MAINPURI
13,AGRA,EDC FATEHABAD
14,FIROZABAD,EUDC FIROZABAD
15,BANDA,EDC BANDA
16,BANDA,EDC HAMIRPUR
17,BANDA,EDC CHITRAKOOT
18,BANDA,EDC MAHOBA
19,ALIGARH,EDC I ALIGARH
20,ETAH,EDC HATHRAS
21,ETAH,EDC ETAH
22,ALIGARH,EUDC ALIGARH
23,ALIGARH,EDC II ALIGARH
24,ETAH,EDC KASGANJ
25,PRAYAGRAJ-II,EDC I PRAYAGRAJ
26,PRAYAGRAJ-II,EDC II PRAYAGRAJ
27,PRAYAGRAJ-I,EUDC I PRAYAGRAJ
28,PRAYAGRAJ-II,EDC FATEHPUR
29,PRAYAGRAJ-I,EUDC II PRAYAGRAJ
30,PRAYAGRAJ-II,EDC PRATAPGARH
31,PRAYAGRAJ-II,EDC KAUSHAMBHI
32,GORAKHPUR-I,EDC I GORAKHPUR
33,GORAKHPUR-II,EDC DEORIA
34,GORAKHPUR-I,EUDC GORAKHPUR
35,GORAKHPUR-I,EDC II GORAKHPUR
36,GORAKHPUR-II,EDC MAHRAJGANJ
37,GORAKHPUR-II,EDC KUSHINAGAR
38,VARANASI-I,EUDC I VARANASI
39,VARANASI-I,EUDC II VARANASI
40,VARANASI-I,EDC VARANASI
41,VARANASI-II,EDC I JAUNPUR
42,VARANASI-II,EDC GHAZIPUR
43,VARANASI-II,EDC CHANDAULI
44,VARANASI-II,EDC II JAUNPUR
45,AZAMGARH,EDC I AZAMGARH
46,AZAMGARH,EDC MAU
47,AZAMGARH,EDC BALLIA
48,AZAMGARH,EDC II AZAMGARH
49,BASTI,EDC BASTI
50,BASTI,EDC KHALILABAD
51,BASTI,EDC SIDDHARTHA NAGAR
52,MIRZAPUR,EDC MIRZAPUR
53,MIRZAPUR,EDC SONBHADRA
54,MIRZAPUR,EDC BHADOHI
55,MEERUT-I,EUDC MEERUT
56,MEERUT-II,EDC I MEERUT
57,MEERUT-II,EDC BAGHPAT
58,MEERUT-II,EDC II MEERUT
59,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR
60,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR
61,SAHARANPUR,EUDC SAHARANPUR
62,SAHARANPUR,EDC I SAHARANPUR
63,MUZAFFARNAGAR,EDC SHAMLI
64,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR
65,SAHARANPUR,EDC II SAHARANPUR
66,MORADABAD,EDC MORADABAD
67,GAJRAULA,EDC AMROHA
68,MORADABAD,EUDC MORADABAD
69,MORADABAD,EDC RAMPUR
70,GAJRAULA,EDC BIJNOR
71,MORADABAD,EDC SAMBHAL
72,GAJRAULA,EDC DHAMPUR
73,NOIDA,EUDC I NOIDA
74,NOIDA,EUDC II NOIDA
75,GHAZIABAD-I,EUDC I GHAZIABAD
76,GHAZIABAD-II,EDC GHAZIABAD
77,GHAZIABAD-III,EUDC II GHAZIABAD
78,GHAZIABAD-II,EDC LONI
79,GHAZIABAD-III,EUDC III GHAZIABAD
80,BULANDSHAHAR,EDC HAPUR
81,BULANDSHAHAR,EDC I BULANDSHAHAR
82,BULANDSHAHAR,EDC II BULANDSHAHAR
83,BULANDSHAHAR,EDC III BULANDSHAHAR
84,RAEBARELI,EDC I RAEBARELI
85,SITAPUR,EDC SITAPUR
86,SITAPUR,EDC HARDOI
87,RAEBARELI,EDC UNNAO
88,RAEBARELI,EDC II RAEBARELI
89,SITAPUR,EDC LAKHIMPUR
90,SITAPUR,EDC GOLA
91,AYODHYA,EDC AYODHYA
92,AYODHYA,EDC SULTANPUR
93,AYODHYA,EDC BARABANKI
94,AYODHYA,EDC AMBEDKAR NAGAR
95,AYODHYA,EDC GAURIGANJ
96,L.E.S.A. CG-II,EUDC I LESA
97,L.E.S.A. CG-II,EUDC III LESA
98,L.E.S.A. CG-I,EUDC IV LESA
99,L.E.S.A. CG-I,EUDC VII LESA
100,L.E.S.A. CG-II,EUDC VIII LESA
101,BAREILLY-I,EDC BAREILLY
102,BAREILLY-II,EDC SHAHJAHANPUR
103,BAREILLY-I,EUDC BAREILLY
104,BAREILLY-II,EDC BADAUN
105,BAREILLY-II,EDC PILIBHIT
106,DEVI PATAN,EDC GONDA
107,DEVI PATAN,EDC BAHRAICH
108,DEVI PATAN,EDC BALRAMPUR
109,L.E.S.A. TG-II,EUDC II LESA
110,L.E.S.A. TG-I,EUDC VI LESA
111,L.E.S.A. TG-II,EUDC IX LESA
112,L.E.S.A. TG-I,EUDC X LESA
113,KESCO,CIRCLE I
114,KESCO,CIRCLE II
115,KESCO,CIRCLE III
116,KESCO,CIRCLE IV
117,AGRA,EDC AGRA
118,MATHURA,EDC I MATHURA
119,MATHURA,EUDC MATHURA
120,MATHURA,EDC II MATHURA
