S.No.,Zone,Discom
1,AGRA,Dakshinanchal
2,ALIGARH,Dakshinanchal
3,AYODHYA,Madhyanchal
4,AZAMGARH,Poorvanchal
5,BANDA,Dakshinanchal
6,BAREILLY-I,Madhyanchal
7,BAREILLY-II,Madhyanchal
8,BASTI,Poorvanchal
9,BULANDSHAHAR,Paschimanchal
10,DEVI PATAN,Madhyanchal
11,ETAH,Dakshinanchal
12,FIROZABAD,Dakshinanchal
13,GAJRAULA,Paschimanchal
14,GHAZIABAD-I,Paschimanchal
15,GHAZIABAD-II,Paschimanchal
16,GHAZIABAD-III,Paschimanchal
17,GORAKHPUR-I,Poorvanchal
18,GORAKHPUR-II,Poorvanchal
19,JHANSI,Dakshinanchal
20,KANPUR-I,Dakshinanchal
21,KANPUR-II,Dakshinanchal
22,KESCO,Kesco
23,L.E.S.A. CG-I,Madhyanchal
24,L.E.S.A. CG-II,Madhyanchal
25,L.E.S.A. TG-I,Madhyanchal
26,L.E.S.A. TG-II,Madhyanchal
27,MATHURA,Dakshinanchal
28,MEERUT-I,Paschimanchal
29,MEERUT-II,Paschimanchal
30,MIRZAPUR,Poorvanchal
31,MORADABAD,Paschimanchal
32,MUZAFFARNAGAR,Paschimanchal
33,NOIDA,Paschimanchal
34,PRAYAGRAJ-I,Poorvanchal
35,PRAYAGRAJ-II,Poorvanchal
36,RAEBARELI,Madhyanchal
37,SAHARANPUR,Paschimanchal
38,SITAPUR,Madhyanchal
39,VARANASI-I,Poorvanchal
40,VARANASI-II,Poorvanchal
