S.No.,Zone,Circle,Division,Substation,Feeder/Bay,Energy Meter Serial No.,Interface Type,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV MAU FDR,X0332031,T-D,June,2024,0,4336.86,MAU_24663,4336.86,EDD II CHITRAKOOT,DAKSHINANCHAL
2,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV CHHIBO FDR,X0332030,T-D,June,2024,0,35,CHHIBO_24435,763.25,EDD II CHITRAKOOT,DAKSHINANCHAL
3,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV RAMNAGAR FDR,X0332058,T-D,June,2024,0,0,NEW RAMNAGAR_24722,811.72,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,NEW RAMNAGAR_24722,811.72,EDD II CHITRAKOOT,DAKSHINANCHAL
5,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV KATIYA MAU FDR,X0332054,T-D,June,2024,0,265.77,KATIYA PAY JAL YOJANA_24582,265.77,EDD II CHITRAKOOT,DAKSHINANCHAL
6,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV TBC FEEDER,X0332029,T-D,June,2024,0,0,,,,
7,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV SPARE FEEDER 5,X0332058,T-D,June,2024,0,713.25,,,,
8,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV SPARE FEEDER 4,X0332033,T-D,June,2024,0,15.47,,,,
9,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV SIRAVAL FEEDER,7008014,T-D,June,2024,0,4475.7,GANGAJI ROAD_20165,4475.7,EDD I CHITRAKOOT,DAKSHINANCHAL
10,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV KASHAI FEEDER,11134457,T-D,June,2024,0,1952.8,KASHAI_24580,1952.8,EDD I CHITRAKOOT,DAKSHINANCHAL
11,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV GANIVA FEEDER,7008024,T-D,June,2024,0,1058.9,GANIVA_24483,960.8,EDD II CHITRAKOOT,DAKSHINANCHAL
12,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV CHILLIMAL FEEDER,XC594818,T-D,June,2024,0,167.8,,,,
13,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV CHITRAKOOT FEEDER,XC594830,T-D,June,2024,0,5441.2,NEW COLLECTRATE_24720,190,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,RANIPUR BHATT_20047,4389,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,KHOHI PARIKRAMA MARG_24270,782.2,EDD I CHITRAKOOT,DAKSHINANCHAL
16,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV BHARATKOOP FEEDER,XC594817,T-D,June,2024,0,4461.8,BHARTKOOP_24385,2728.8,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,LUDHWARA_24271,1723,EDD I CHITRAKOOT,DAKSHINANCHAL
18,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV DHUSHMAIDAN FEEDER,UPP40607,T-D,June,2024,0,4711.8,DHUS MAIDAN_20045,4711.8,EDD I CHITRAKOOT,DAKSHINANCHAL
19,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV KHOH FEEDER,UPP40697,T-D,June,2024,0,120.8,,,,
20,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV SARDHUA FEEDER,X0479548,T-D,June,2024,0,0,SARDHUWA_24838,1406.2,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,BHADEDOO_24375,591.3,EDD II CHITRAKOOT,DAKSHINANCHAL
22,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV PAHADI FEEDER,X0479549,T-D,June,2024,0,2296.8,PAHADI_24740,2296.8,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,PAHADI_24740,2296.8,EDD II CHITRAKOOT,DAKSHINANCHAL
24,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV RAJAPUR FEEDER,X0479551,T-D,June,2024,0,0,RAJAPUR_22632,3639,EDD II CHITRAKOOT,DAKSHINANCHAL
25,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV TRANSFER BUS COUPLER,UPP40701,T-D,June,2024,0,0,,,,
